id,churn_probability,risk_level,primary_threshold,above_primary_threshold,actual_churn,positive_driver_1,positive_driver_1_shap,positive_driver_1_abs_shap,positive_driver_1_value,positive_driver_1_type,positive_driver_2,positive_driver_2_shap,positive_driver_2_abs_shap,positive_driver_2_value,positive_driver_2_type,positive_driver_3,positive_driver_3_shap,positive_driver_3_abs_shap,positive_driver_3_value,positive_driver_3_type,positive_driver_4,positive_driver_4_shap,positive_driver_4_abs_shap,positive_driver_4_value,positive_driver_4_type,positive_driver_5,positive_driver_5_shap,positive_driver_5_abs_shap,positive_driver_5_value,positive_driver_5_type,negative_driver_1,negative_driver_1_shap,negative_driver_1_abs_shap,negative_driver_1_value,negative_driver_1_type,negative_driver_2,negative_driver_2_shap,negative_driver_2_abs_shap,negative_driver_2_value,negative_driver_2_type,negative_driver_3,negative_driver_3_shap,negative_driver_3_abs_shap,negative_driver_3_value,negative_driver_3_type,negative_driver_4,negative_driver_4_shap,negative_driver_4_abs_shap,negative_driver_4_value,negative_driver_4_type,negative_driver_5,negative_driver_5_shap,negative_driver_5_abs_shap,negative_driver_5_value,negative_driver_5_type
712,0.014610889723018269,Below Primary Threshold,0.1,False,0,aon,0.2797265,0.2797265,201.0,Risk-increasing contribution,total_rech_num_8,0.061946157,0.061946157,11.0,Risk-increasing contribution,loc_og_mou_min_6_8,0.053906504,0.053906504,15.56,Risk-increasing contribution,roam_og_mou_7,0.05291011,0.05291011,0.0,Risk-increasing contribution,recharge_count_std_6_8,0.047445208,0.047445208,3.741657386773941,Risk-increasing contribution,last_day_rch_amt_8,-0.7483509,0.7483509,130.0,Risk-reducing contribution,total_activity_8,-0.5227865,0.5227865,686.8100000000001,Risk-reducing contribution,roam_og_mou_8,-0.38606963,0.38606963,0.0,Risk-reducing contribution,total_ic_mou_8,-0.2542955,0.2542955,43.33,Risk-reducing contribution,total_activity_pct_change_7_to_8,-0.22194618,0.22194618,0.759697668460159,Risk-reducing contribution
1764,0.0020088338668312515,Below Primary Threshold,0.1,False,0,total_rech_num_8,0.071416885,0.071416885,15.0,Risk-increasing contribution,recharge_count_min_6_8,0.042073295,0.042073295,10.0,Risk-increasing contribution,max_rech_amt_8,0.041052755,0.041052755,30.0,Risk-increasing contribution,loc_og_mou_pct_change_7_to_8,0.031543724,0.031543724,0.4324324324324323,Risk-increasing contribution,roam_og_mou_7,0.029257901,0.029257901,0.0,Risk-increasing contribution,voice_rech_recency_8,-0.987579,0.987579,1.0,Risk-reducing contribution,spl_ic_mou_8,-0.6514759,0.6514759,0.25,Risk-reducing contribution,total_activity_8,-0.49763355,0.49763355,231.07,Risk-reducing contribution,roam_og_mou_8,-0.38318476,0.38318476,0.0,Risk-reducing contribution,total_ic_mou_8,-0.21318014,0.21318014,33.78,Risk-reducing contribution
24700,0.0032151496986712173,Below Primary Threshold,0.1,False,0,std_ic_t2t_mou_8,0.12536743,0.12536743,57.98,Risk-increasing contribution,total_og_mou_pct_change_7_to_8,0.12186485,0.12186485,109.496996996997,Risk-increasing contribution,loc_og_mou_pct_change_6_to_8,0.0795346,0.0795346,20.046979865771814,Risk-increasing contribution,arpu_change_7_to_8,0.066783175,0.066783175,340.035,Risk-increasing contribution,std_ic_mou_change_7_to_8,0.06512015,0.06512015,52.68,Risk-increasing contribution,voice_rech_recency_8,-1.2434102,1.2434102,0.0,Risk-reducing contribution,spl_ic_mou_8,-0.9041711,0.9041711,0.45,Risk-reducing contribution,total_activity_8,-0.6025461,0.6025461,850.42,Risk-reducing contribution,roam_og_mou_8,-0.3538499,0.3538499,0.0,Risk-reducing contribution,total_ic_mou_8,-0.25460854,0.25460854,114.51,Risk-reducing contribution
26932,0.765116444416618,Very High,0.1,True,1,total_activity_pct_change_7_to_8,0.7596529,0.7596529,-0.9301581610843755,Risk-increasing contribution,roam_og_mou_8,0.5059988,0.5059988,2.03,Risk-increasing contribution,voice_rech_recency_8,0.42706028,0.42706028,22.0,Risk-increasing contribution,aon,0.3540894,0.3540894,208.0,Risk-increasing contribution,total_ic_mou_min_6_8,0.25933507,0.25933507,0.0,Risk-increasing contribution,total_ic_mou_8,-0.1471543,0.1471543,42.25,Risk-reducing contribution,total_activity_8,-0.112966396,0.112966396,50.65,Risk-reducing contribution,total_voice_mou_8,-0.06441407,0.06441407,50.65,Risk-reducing contribution,total_rech_num_8,-0.054184247,0.054184247,1.0,Risk-reducing contribution,recharge_value_per_transaction_8,-0.039727826,0.039727826,0.0,Risk-reducing contribution
55513,0.0037576118332869842,Below Primary Threshold,0.1,False,0,aon,0.14691012,0.14691012,362.0,Risk-increasing contribution,std_ic_t2f_mou_6,0.077598676,0.077598676,6.21,Risk-increasing contribution,max_rech_amt_7,0.07185805,0.07185805,50.0,Risk-increasing contribution,recharge_count_min_6_8,0.04496958,0.04496958,6.0,Risk-increasing contribution,recharge_count_std_6_8,0.042741124,0.042741124,3.2998316455372216,Risk-increasing contribution,spl_ic_mou_8,-0.6010631,0.6010631,0.09,Risk-reducing contribution,total_activity_8,-0.5281874,0.5281874,681.04,Risk-reducing contribution,voice_rech_recency_8,-0.41112673,0.41112673,2.0,Risk-reducing contribution,total_ic_mou_8,-0.2661452,0.2661452,181.68,Risk-reducing contribution,total_ic_mou_min_6_8,-0.23753336,0.23753336,96.33,Risk-reducing contribution
44340,0.0052246155950382836,Below Primary Threshold,0.1,False,0,voice_rech_recency_8,0.30559212,0.30559212,10.0,Risk-increasing contribution,aon,0.20721878,0.20721878,263.0,Risk-increasing contribution,total_og_mou_pct_change_7_to_8,0.20229687,0.20229687,56.530612244897966,Risk-increasing contribution,max_rech_amt_7,0.06477923,0.06477923,0.0,Risk-increasing contribution,spl_ic_mou_8,0.03142107,0.03142107,0.0,Risk-increasing contribution,total_activity_8,-0.57729393,0.57729393,970.36,Risk-reducing contribution,last_day_rch_amt_8,-0.5765913,0.5765913,154.0,Risk-reducing contribution,total_ic_mou_8,-0.34727165,0.34727165,328.93,Risk-reducing contribution,total_ic_mou_min_6_8,-0.3335759,0.3335759,267.09,Risk-reducing contribution,total_activity_pct_change_7_to_8,-0.26252556,0.26252556,1.083659007945029,Risk-reducing contribution
14998,0.002546125523908828,Below Primary Threshold,0.1,False,0,std_ic_mou_std_6_8,0.06003329,0.06003329,16.302675308740653,Risk-increasing contribution,roam_og_mou_pct_change_7_to_8,0.058981407,0.058981407,-1.0,Risk-increasing contribution,total_rech_num_8,0.049087416,0.049087416,7.0,Risk-increasing contribution,loc_ic_mou_change_6_to_8,0.040827774,0.040827774,-155.35,Risk-increasing contribution,spl_og_mou_7,0.032830846,0.032830846,2.81,Risk-increasing contribution,voice_rech_recency_8,-1.1241387,1.1241387,0.0,Risk-reducing contribution,total_activity_8,-0.5752482,0.5752482,460.44,Risk-reducing contribution,total_ic_mou_8,-0.37741515,0.37741515,273.33,Risk-reducing contribution,last_day_rch_amt_8,-0.3723554,0.3723554,50.0,Risk-reducing contribution,total_ic_mou_min_6_8,-0.28258428,0.28258428,231.76,Risk-reducing contribution
4541,0.0029771235063881796,Below Primary Threshold,0.1,False,0,total_activity_pct_change_7_to_8,0.51530427,0.51530427,-0.4854044291130383,Risk-increasing contribution,total_ic_mou_change_6_to_8,0.09822134,0.09822134,-366.05,Risk-increasing contribution,total_rech_num_8,0.0742983,0.0742983,14.0,Risk-increasing contribution,total_activity_change_7_to_8,0.049548827,0.049548827,-596.6299999999999,Risk-increasing contribution,arpu_avg_6_8,0.04634159,0.04634159,462.847,Risk-increasing contribution,voice_rech_recency_8,-1.3111951,1.3111951,1.0,Risk-reducing contribution,total_activity_8,-0.5164222,0.5164222,632.51,Risk-reducing contribution,last_day_rch_amt_8,-0.4630479,0.4630479,30.0,Risk-reducing contribution,total_ic_mou_8,-0.3206836,0.3206836,222.74,Risk-reducing contribution,roam_og_mou_8,-0.24614678,0.24614678,0.0,Risk-reducing contribution
40700,0.009894301468061929,Below Primary Threshold,0.1,False,0,total_ic_mou_min_6_8,0.3496639,0.3496639,0.0,Risk-increasing contribution,total_rech_num_8,0.20871101,0.20871101,25.0,Risk-increasing contribution,arpu_std_6_8,0.12553456,0.12553456,450.3851111188686,Risk-increasing contribution,aon,0.09472006,0.09472006,399.0,Risk-increasing contribution,arpu_8,0.09350234,0.09350234,1396.554,Risk-increasing contribution,last_day_rch_amt_8,-0.9670861,0.9670861,130.0,Risk-reducing contribution,total_activity_8,-0.5727553,0.5727553,3430.59,Risk-reducing contribution,voice_rech_recency_8,-0.46947688,0.46947688,2.0,Risk-reducing contribution,roam_og_mou_8,-0.33354357,0.33354357,0.0,Risk-reducing contribution,total_ic_mou_8,-0.24960223,0.24960223,77.66,Risk-reducing contribution
66070,0.003197418618941278,Below Primary Threshold,0.1,False,0,total_rech_num_8,0.1312878,0.1312878,15.0,Risk-increasing contribution,recharge_count_min_6_8,0.087611414,0.087611414,15.0,Risk-increasing contribution,max_rech_amt_7,0.060911395,0.060911395,50.0,Risk-increasing contribution,max_rech_amt_8,0.041510254,0.041510254,50.0,Risk-increasing contribution,arpu_avg_6_8,0.03862155,0.03862155,432.25966666666665,Risk-increasing contribution,total_activity_8,-0.5488521,0.5488521,902.41,Risk-reducing contribution,total_ic_mou_min_6_8,-0.5204206,0.5204206,386.01,Risk-reducing contribution,aon,-0.35149607,0.35149607,2808.0,Risk-reducing contribution,total_ic_mou_8,-0.34462416,0.34462416,442.43,Risk-reducing contribution,last_day_rch_amt_8,-0.3261468,0.3261468,50.0,Risk-reducing contribution
20906,0.007865040108047717,Below Primary Threshold,0.1,False,0,voice_rech_recency_8,0.31134164,0.31134164,26.0,Risk-increasing contribution,last_day_rch_amt_8,0.24417734,0.24417734,0.0,Risk-increasing contribution,std_og_t2t_mou_8,0.051709224,0.051709224,25.28,Risk-increasing contribution,std_ic_mou_std_6_8,0.050771136,0.050771136,20.47921276698779,Risk-increasing contribution,max_rech_amt_8,0.045719676,0.045719676,0.0,Risk-increasing contribution,total_activity_8,-0.51910365,0.51910365,305.09000000000003,Risk-reducing contribution,total_ic_mou_8,-0.34241322,0.34241322,225.96,Risk-reducing contribution,ic_others_8,-0.31538638,0.31538638,0.73,Risk-reducing contribution,total_ic_mou_min_6_8,-0.29411402,0.29411402,79.81,Risk-reducing contribution,total_activity_pct_change_7_to_8,-0.19019985,0.19019985,-0.2725039940863675,Risk-reducing contribution
5739,0.007464002968727814,Below Primary Threshold,0.1,False,0,voice_rech_recency_8,0.43707597,0.43707597,20.0,Risk-increasing contribution,arpu_std_6_8,0.072381474,0.072381474,144.9062141716343,Risk-increasing contribution,total_activity_change_6_to_8,0.059700523,0.059700523,559.7,Risk-increasing contribution,offnet_mou_8,0.0534624,0.0534624,0.0,Risk-increasing contribution,std_ic_mou_pct_change_7_to_8,0.046171263,0.046171263,-1.0,Risk-increasing contribution,total_activity_8,-0.50173926,0.50173926,1666.51,Risk-reducing contribution,last_day_rch_amt_8,-0.37608743,0.37608743,252.0,Risk-reducing contribution,total_ic_mou_8,-0.26479444,0.26479444,36.89,Risk-reducing contribution,vol_3g_mb_8,-0.22571921,0.22571921,1364.26,Risk-reducing contribution,roam_og_mou_8,-0.21838106,0.21838106,0.0,Risk-reducing contribution
14444,0.01155635074526872,Below Primary Threshold,0.1,False,0,total_activity_pct_change_7_to_8,0.7149531,0.7149531,-0.6553907492717995,Risk-increasing contribution,last_day_rch_amt_8,0.37698588,0.37698588,0.0,Risk-increasing contribution,std_ic_mou_std_6_8,0.075901136,0.075901136,10.944965357033649,Risk-increasing contribution,spl_ic_mou_8,0.053145546,0.053145546,0.0,Risk-increasing contribution,total_activity_change_7_to_8,0.040672813,0.040672813,-634.5100000000001,Risk-increasing contribution,std_ic_t2f_mou_8,-0.52300704,0.52300704,26.68,Risk-reducing contribution,total_ic_mou_min_6_8,-0.4664791,0.4664791,333.63,Risk-reducing contribution,total_activity_8,-0.4171,0.4171,333.63,Risk-reducing contribution,total_ic_mou_8,-0.34510833,0.34510833,333.63,Risk-reducing contribution,loc_ic_t2m_mou_8,-0.24325879,0.24325879,165.76,Risk-reducing contribution
23494,0.005080067156590458,Below Primary Threshold,0.1,False,0,aon,0.20240985,0.20240985,214.0,Risk-increasing contribution,isd_ic_mou_8,0.19515035,0.19515035,39.19,Risk-increasing contribution,voice_rech_recency_8,0.13016836,0.13016836,6.0,Risk-increasing contribution,recharge_count_min_6_8,0.086770155,0.086770155,7.0,Risk-increasing contribution,spl_og_mou_7,0.061211444,0.061211444,6.99,Risk-increasing contribution,total_activity_8,-0.53819954,0.53819954,1885.2,Risk-reducing contribution,total_ic_mou_min_6_8,-0.42608008,0.42608008,428.04,Risk-reducing contribution,last_day_rch_amt_8,-0.41331482,0.41331482,98.0,Risk-reducing contribution,total_ic_mou_8,-0.31106552,0.31106552,428.04,Risk-reducing contribution,total_activity_pct_change_7_to_8,-0.28991678,0.28991678,0.2946201705833072,Risk-reducing contribution
5982,0.0027685639316838524,Below Primary Threshold,0.1,False,0,voice_rech_recency_8,0.36054838,0.36054838,11.0,Risk-increasing contribution,arpu_std_6_8,0.09506978,0.09506978,107.60731256130629,Risk-increasing contribution,spl_og_mou_7,0.07036495,0.07036495,10.2,Risk-increasing contribution,spl_ic_mou_8,0.03018941,0.03018941,0.0,Risk-increasing contribution,loc_og_t2t_mou_6,0.025743632,0.025743632,92.66,Risk-increasing contribution,total_activity_8,-0.5571313,0.5571313,530.29,Risk-reducing contribution,last_day_rch_amt_8,-0.53411806,0.53411806,130.0,Risk-reducing contribution,total_ic_mou_min_6_8,-0.38572863,0.38572863,158.19,Risk-reducing contribution,total_ic_mou_8,-0.32476532,0.32476532,182.28,Risk-reducing contribution,aon,-0.27901065,0.27901065,2510.0,Risk-reducing contribution
10076,0.003699054063564585,Below Primary Threshold,0.1,False,0,isd_ic_mou_8,0.13498881,0.13498881,24.73,Risk-increasing contribution,std_ic_mou_std_6_8,0.06142078,0.06142078,13.87172904387433,Risk-increasing contribution,std_ic_t2t_mou_8,0.05162506,0.05162506,17.8,Risk-increasing contribution,total_rech_num_8,0.04545696,0.04545696,8.0,Risk-increasing contribution,recharge_count_std_6_8,0.0441161,0.0441161,3.39934634239519,Risk-increasing contribution,voice_rech_recency_8,-1.0356607,1.0356607,1.0,Risk-reducing contribution,total_activity_8,-0.4658001,0.4658001,186.48,Risk-reducing contribution,spl_ic_mou_8,-0.439397,0.439397,0.1,Risk-reducing contribution,roam_og_mou_8,-0.33633947,0.33633947,0.0,Risk-reducing contribution,total_ic_mou_8,-0.2926056,0.2926056,114.94,Risk-reducing contribution
44144,0.24157171336965308,High,0.1,True,0,total_activity_pct_change_7_to_8,1.3172905,1.3172905,-0.8245025438806034,Risk-increasing contribution,last_day_rch_amt_8,0.51703775,0.51703775,0.0,Risk-increasing contribution,total_ic_mou_pct_change_7_to_8,0.3032429,0.3032429,-0.7747624053375668,Risk-increasing contribution,arpu_std_6_8,0.13225055,0.13225055,325.5569354284371,Risk-increasing contribution,arpu_avg_6_8,0.087525606,0.087525606,816.8773333333334,Risk-increasing contribution,total_activity_8,-0.36377984,0.36377984,492.23,Risk-reducing contribution,aon,-0.26244575,0.26244575,1645.0,Risk-reducing contribution,total_ic_mou_min_6_8,-0.2468475,0.2468475,87.23,Risk-reducing contribution,total_ic_mou_8,-0.17120354,0.17120354,104.99,Risk-reducing contribution,loc_og_t2f_mou_8,-0.14064772,0.14064772,0.66,Risk-reducing contribution
32005,0.039655770567669106,Below Primary Threshold,0.1,False,0,voice_rech_recency_8,0.4719246,0.4719246,9.0,Risk-increasing contribution,total_activity_pct_change_7_to_8,0.22770542,0.22770542,-0.3940145080742172,Risk-increasing contribution,recharge_count_std_6_8,0.0920681,0.0920681,3.741657386773941,Risk-increasing contribution,isd_ic_mou_8,0.077007905,0.077007905,7.93,Risk-increasing contribution,max_rech_amt_7,0.056860574,0.056860574,30.0,Risk-increasing contribution,total_activity_8,-0.5356486,0.5356486,166.24,Risk-reducing contribution,total_ic_mou_8,-0.23482193,0.23482193,80.61,Risk-reducing contribution,roam_og_mou_8,-0.22150275,0.22150275,0.0,Risk-reducing contribution,last_day_rch_amt_8,-0.20241684,0.20241684,30.0,Risk-reducing contribution,total_ic_mou_min_6_8,-0.14558816,0.14558816,35.89,Risk-reducing contribution
22578,0.005033436813656414,Below Primary Threshold,0.1,False,0,total_rech_num_8,0.05820593,0.05820593,10.0,Risk-increasing contribution,voice_rech_recency_7,0.05082213,0.05082213,1.0,Risk-increasing contribution,max_rech_amt_7,0.048406065,0.048406065,20.0,Risk-increasing contribution,total_og_mou_pct_change_7_to_8,0.044914752,0.044914752,-0.4083462872175057,Risk-increasing contribution,spl_ic_mou_8,0.03787741,0.03787741,0.0,Risk-increasing contribution,total_activity_8,-0.55853456,0.55853456,251.29,Risk-reducing contribution,voice_rech_recency_8,-0.4537867,0.4537867,2.0,Risk-reducing contribution,std_ic_t2f_mou_8,-0.35473847,0.35473847,6.06,Risk-reducing contribution,total_ic_mou_8,-0.30875748,0.30875748,137.74,Risk-reducing contribution,last_day_rch_amt_8,-0.28831676,0.28831676,20.0,Risk-reducing contribution
29279,0.5910620313504819,Very High,0.1,True,0,total_activity_8,1.392606,1.392606,0.0,Risk-increasing contribution,total_ic_mou_8,0.4207075,0.4207075,0.0,Risk-increasing contribution,total_activity_pct_change_7_to_8,0.23775277,0.23775277,-1.0,Risk-increasing contribution,last_day_rch_amt_8,0.2295172,0.2295172,0.0,Risk-increasing contribution,total_ic_mou_min_6_8,0.17860863,0.17860863,0.0,Risk-increasing contribution,loc_ic_mou_change_6_to_8,-0.10305769,0.10305769,-54.64,Risk-reducing contribution,arpu_min_6_8,-0.066003524,0.066003524,10.0,Risk-reducing contribution,loc_og_t2m_mou_8,-0.05422287,0.05422287,0.0,Risk-reducing contribution,roam_ic_mou_pct_change_7_to_8,-0.05356177,0.05356177,7.0090090090090085,Risk-reducing contribution,arpu_8,-0.048968185,0.048968185,10.0,Risk-reducing contribution
