explanation_rank,id,churn_probability,risk_level,primary_threshold,above_primary_threshold,actual_churn,top_positive_drivers,top_negative_drivers,explanation_scope,interpretation_note
11,69384,0.988145,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.9062; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9708; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9003; value 34.8053; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4542; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.4127; value 0.0000; Risk-increasing contribution),1. aon (SHAP -0.1336; value 2372.0000; Risk-reducing contribution) | 2. recharge_count_std_6_8 (SHAP -0.0436; value 1.4142; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0435; value 0.0000; Risk-reducing contribution) | 4. arpu_std_6_8 (SHAP -0.0404; value 49.2222; Risk-reducing contribution) | 5. total_activity_pct_change_7_to_8 (SHAP -0.0393; value -0.0297; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
12,58662,0.987085,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8614; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9589; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9456; value 35.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4376; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3798; value 0.0000; Risk-increasing contribution),1. aug_vbc_3g (SHAP -0.0811; value 379.3700; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0525; value 0.0000; Risk-reducing contribution) | 3. total_activity_pct_change_7_to_8 (SHAP -0.0457; value -0.0297; Risk-reducing contribution) | 4. arpu_std_6_8 (SHAP -0.0340; value 49.4975; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0277; value 0.4714; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
13,19598,0.985567,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8563; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9582; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9336; value 36.6667; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4509; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3315; value 0.0000; Risk-increasing contribution),1. aon (SHAP -0.0532; value 1279.0000; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0473; value 0.0000; Risk-reducing contribution) | 3. total_activity_pct_change_7_to_8 (SHAP -0.0442; value -0.0297; Risk-reducing contribution) | 4. recharge_count_recent_vs_baseline_pct (SHAP -0.0370; value -0.0769; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0355; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
14,29420,0.9848,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8560; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9572; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9174; value 14.3217; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4509; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3290; value 0.0000; Risk-increasing contribution),1. aon (SHAP -0.0753; value 1416.0000; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0596; value 20.2539; Risk-reducing contribution) | 3. total_activity_pct_change_7_to_8 (SHAP -0.0439; value -0.0297; Risk-reducing contribution) | 4. roam_og_mou_8 (SHAP -0.0435; value 0.0000; Risk-reducing contribution) | 5. recharge_count_recent_vs_baseline_pct (SHAP -0.0376; value -0.0769; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
15,21027,0.98216,Very High,0.1,True,1,1. total_activity_8 (SHAP +2.0063; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9841; value 31.9603; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9361; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.3960; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3604; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0553; value 0.0000; Risk-reducing contribution) | 2. total_activity_6 (SHAP -0.0550; value 325.7100; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0406; value 45.1987; Risk-reducing contribution) | 4. total_activity_pct_change_7_to_8 (SHAP -0.0405; value -0.0297; Risk-reducing contribution) | 5. std_ic_mou_std_6_8 (SHAP -0.0322; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
16,54879,0.980974,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.9094; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9619; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.8546; value 36.3867; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4067; value 0.0000; Risk-increasing contribution) | 5. voice_rech_recency_8 (SHAP +0.3666; value 27.0000; Risk-increasing contribution),1. last_day_rch_amt_8 (SHAP -0.2465; value 126.0000; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0632; value 0.0000; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0580; value 50.9643; Risk-reducing contribution) | 4. total_activity_pct_change_7_to_8 (SHAP -0.0468; value -0.0297; Risk-reducing contribution) | 5. roam_ic_mou_8 (SHAP -0.0211; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
17,54667,0.980847,Very High,0.1,True,1,1. total_activity_8 (SHAP +2.0851; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9667; value 15.2207; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9055; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.3765; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3434; value 0.0000; Risk-increasing contribution),1. recharge_count_std_6_8 (SHAP -0.0622; value 1.4142; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0604; value 21.5253; Risk-reducing contribution) | 3. total_activity_pct_change_7_to_8 (SHAP -0.0576; value -0.0297; Risk-reducing contribution) | 4. roam_og_mou_8 (SHAP -0.0550; value 0.0000; Risk-reducing contribution) | 5. std_ic_mou_std_6_8 (SHAP -0.0518; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
18,15393,0.979249,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.9736; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9480; value 37.4010; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9024; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.3727; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3499; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0556; value 0.0000; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0516; value -0.0297; Risk-reducing contribution) | 3. std_ic_mou_std_6_8 (SHAP -0.0467; value 0.0000; Risk-reducing contribution) | 4. total_activity_6 (SHAP -0.0460; value 8.8800; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0400; value 0.4714; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
19,67780,0.978879,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.9078; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +1.0036; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.8700; value 28.4950; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4142; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.2730; value 0.0000; Risk-increasing contribution),1. last_day_rch_amt_8 (SHAP -0.2822; value 93.0000; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0643; value 0.0000; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0518; value 36.7508; Risk-reducing contribution) | 4. total_activity_pct_change_7_to_8 (SHAP -0.0451; value -0.0297; Risk-reducing contribution) | 5. recharge_count_recent_vs_baseline_pct (SHAP -0.0319; value 2.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
20,13237,0.978854,Very High,0.1,True,1,1. total_activity_8 (SHAP +2.0163; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9571; value 37.6767; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9475; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.3989; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3672; value 0.0000; Risk-increasing contribution),1. recharge_count_std_6_8 (SHAP -0.0618; value 0.4714; Risk-reducing contribution) | 2. total_activity_6 (SHAP -0.0566; value 315.8900; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0531; value 0.0000; Risk-reducing contribution) | 4. arpu_std_6_8 (SHAP -0.0486; value 53.2829; Risk-reducing contribution) | 5. total_activity_pct_change_7_to_8 (SHAP -0.0476; value -0.0297; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
21,62455,0.97881,Very High,0.1,True,1,1. total_activity_8 (SHAP +2.0212; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9378; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.8789; value 28.6493; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4178; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3600; value 0.0000; Risk-increasing contribution),1. std_ic_mou_min_6_8 (SHAP -0.1000; value 478.9100; Risk-reducing contribution) | 2. aon (SHAP -0.0901; value 1533.0000; Risk-reducing contribution) | 3. total_activity_6 (SHAP -0.0503; value 619.8700; Risk-reducing contribution) | 4. roam_og_mou_8 (SHAP -0.0476; value 0.0000; Risk-reducing contribution) | 5. total_activity_pct_change_7_to_8 (SHAP -0.0450; value -0.0297; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
22,48329,0.978225,Very High,0.1,True,1,1. total_activity_8 (SHAP +2.0034; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9448; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9045; value 28.3657; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4175; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3444; value 0.0000; Risk-increasing contribution),1. aon (SHAP -0.1213; value 2305.0000; Risk-reducing contribution) | 2. loc_ic_t2f_mou_6 (SHAP -0.1205; value 89.7800; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0581; value 40.1151; Risk-reducing contribution) | 4. recharge_count_std_6_8 (SHAP -0.0570; value 1.8856; Risk-reducing contribution) | 5. total_activity_pct_change_7_to_8 (SHAP -0.0554; value -0.0297; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
23,7993,0.977748,Very High,0.1,True,1,1. total_activity_8 (SHAP +2.0847; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9828; value 18.7363; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9189; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.3969; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3450; value 0.0000; Risk-increasing contribution),1. recharge_count_std_6_8 (SHAP -0.0622; value 1.8856; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0619; value 26.4972; Risk-reducing contribution) | 3. total_activity_pct_change_7_to_8 (SHAP -0.0570; value -0.0297; Risk-reducing contribution) | 4. std_ic_mou_std_6_8 (SHAP -0.0518; value 0.0000; Risk-reducing contribution) | 5. roam_og_mou_8 (SHAP -0.0478; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
24,3679,0.977716,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8390; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9608; value 26.7333; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9346; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4339; value 0.0000; Risk-increasing contribution) | 5. total_activity_6 (SHAP +0.2759; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0559; value 0.0000; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0461; value 34.1956; Risk-reducing contribution) | 3. total_activity_pct_change_7_to_8 (SHAP -0.0433; value -0.0297; Risk-reducing contribution) | 4. roam_ic_mou_8 (SHAP -0.0260; value 0.0000; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0259; value 0.4714; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
25,7094,0.976747,Very High,0.1,True,1,1. total_activity_8 (SHAP +2.0865; value 0.0000; Risk-increasing contribution) | 2. arpu_avg_6_8 (SHAP +0.9729; value 17.9800; Risk-increasing contribution) | 3. total_ic_mou_8 (SHAP +0.9133; value 0.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4083; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3483; value 0.0000; Risk-increasing contribution),1. aon (SHAP -0.1171; value 1511.0000; Risk-reducing contribution) | 2. recharge_count_std_6_8 (SHAP -0.0677; value 1.4142; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0649; value 25.4276; Risk-reducing contribution) | 4. std_ic_mou_std_6_8 (SHAP -0.0557; value 0.0000; Risk-reducing contribution) | 5. roam_og_mou_8 (SHAP -0.0484; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
