feature_1,feature_2,abs_spearman_correlation
std_og_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
std_og_mou_8_missing,roam_og_mou_8_missing,1.0
std_og_mou_8_missing,roam_ic_mou_8_missing,1.0
std_og_mou_8_missing,offnet_mou_8_missing,1.0
std_og_mou_8_missing,onnet_mou_8_missing,1.0
std_og_t2c_mou_8_missing,std_og_t2f_mou_8_missing,1.0
std_og_t2c_mou_8_missing,std_og_t2m_mou_8_missing,1.0
std_og_t2c_mou_8_missing,std_og_t2t_mou_8_missing,1.0
std_og_t2c_mou_8_missing,loc_og_mou_8_missing,1.0
std_og_t2c_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
std_og_t2c_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
std_og_t2c_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
std_og_t2c_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
std_og_t2c_mou_8_missing,roam_og_mou_8_missing,1.0
std_og_t2c_mou_8_missing,roam_ic_mou_8_missing,1.0
std_og_t2c_mou_8_missing,offnet_mou_8_missing,1.0
isd_og_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
isd_og_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
isd_og_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
isd_og_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
isd_og_mou_8_missing,roam_og_mou_8_missing,1.0
isd_og_mou_8_missing,roam_ic_mou_8_missing,1.0
isd_og_mou_8_missing,offnet_mou_8_missing,1.0
isd_og_mou_8_missing,onnet_mou_8_missing,1.0
std_og_mou_8_missing,std_og_t2c_mou_8_missing,1.0
std_og_mou_8_missing,std_og_t2f_mou_8_missing,1.0
std_og_mou_8_missing,std_og_t2m_mou_8_missing,1.0
std_og_mou_8_missing,std_og_t2t_mou_8_missing,1.0
std_og_mou_8_missing,loc_og_mou_8_missing,1.0
std_og_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
std_og_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
std_og_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
spl_og_mou_8_missing,std_og_t2t_mou_8_missing,1.0
spl_og_mou_8_missing,loc_og_mou_8_missing,1.0
spl_og_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
spl_og_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
spl_og_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
spl_og_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
spl_og_mou_8_missing,roam_og_mou_8_missing,1.0
spl_og_mou_8_missing,roam_ic_mou_8_missing,1.0
spl_og_mou_8_missing,offnet_mou_8_missing,1.0
spl_og_mou_8_missing,onnet_mou_8_missing,1.0
isd_og_mou_8_missing,std_og_mou_8_missing,1.0
isd_og_mou_8_missing,std_og_t2c_mou_8_missing,1.0
isd_og_mou_8_missing,std_og_t2f_mou_8_missing,1.0
isd_og_mou_8_missing,std_og_t2m_mou_8_missing,1.0
isd_og_mou_8_missing,std_og_t2t_mou_8_missing,1.0
isd_og_mou_8_missing,loc_og_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,std_og_t2m_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,std_og_t2t_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,loc_og_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,roam_og_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,roam_ic_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,offnet_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,onnet_mou_8_missing,1.0
spl_og_mou_8_missing,isd_og_mou_8_missing,1.0
spl_og_mou_8_missing,std_og_mou_8_missing,1.0
spl_og_mou_8_missing,std_og_t2c_mou_8_missing,1.0
spl_og_mou_8_missing,std_og_t2f_mou_8_missing,1.0
spl_og_mou_8_missing,std_og_t2m_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,std_og_t2m_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,std_og_t2t_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,loc_og_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,roam_og_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,roam_ic_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,offnet_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,onnet_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,spl_og_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,isd_og_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,std_og_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,std_og_t2c_mou_8_missing,1.0
loc_ic_t2t_mou_8_missing,std_og_t2f_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,std_og_t2t_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,loc_og_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,roam_og_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,roam_ic_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,offnet_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,onnet_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,loc_ic_t2t_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,spl_og_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,isd_og_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,std_og_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,std_og_t2c_mou_8_missing,1.0
loc_ic_t2m_mou_8_missing,std_og_t2f_mou_8_missing,1.0
loc_ic_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
loc_ic_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
loc_ic_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
loc_ic_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
loc_ic_mou_8_missing,roam_og_mou_8_missing,1.0
loc_ic_mou_8_missing,roam_ic_mou_8_missing,1.0
loc_ic_mou_8_missing,offnet_mou_8_missing,1.0
loc_ic_mou_8_missing,onnet_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,loc_ic_t2m_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,loc_ic_t2t_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,spl_og_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,isd_og_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,std_og_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,std_og_t2c_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,std_og_t2f_mou_8_missing,1.0
loc_ic_t2f_mou_8_missing,std_og_t2m_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,roam_og_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,roam_ic_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,offnet_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,onnet_mou_8_missing,1.0
loc_ic_mou_8_missing,loc_ic_t2f_mou_8_missing,1.0
loc_ic_mou_8_missing,loc_ic_t2m_mou_8_missing,1.0
loc_ic_mou_8_missing,loc_ic_t2t_mou_8_missing,1.0
loc_ic_mou_8_missing,spl_og_mou_8_missing,1.0
loc_ic_mou_8_missing,isd_og_mou_8_missing,1.0
loc_ic_mou_8_missing,std_og_mou_8_missing,1.0
loc_ic_mou_8_missing,std_og_t2c_mou_8_missing,1.0
loc_ic_mou_8_missing,std_og_t2f_mou_8_missing,1.0
loc_ic_mou_8_missing,std_og_t2m_mou_8_missing,1.0
loc_ic_mou_8_missing,std_og_t2t_mou_8_missing,1.0
loc_ic_mou_8_missing,loc_og_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,onnet_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,loc_ic_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,loc_ic_t2f_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,loc_ic_t2m_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,loc_ic_t2t_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,spl_og_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,isd_og_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,std_og_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,std_og_t2c_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,std_og_t2f_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,std_og_t2m_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,std_og_t2t_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,loc_og_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
std_ic_t2t_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,loc_ic_t2t_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,spl_og_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,isd_og_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,std_og_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,std_og_t2c_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,std_og_t2f_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,std_og_t2m_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,std_og_t2t_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,loc_og_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,roam_og_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,roam_ic_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,offnet_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,std_og_t2f_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,std_og_t2m_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,std_og_t2t_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,loc_og_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,roam_og_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,roam_ic_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,offnet_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,onnet_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,std_ic_t2t_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,loc_ic_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,loc_ic_t2f_mou_8_missing,1.0
std_ic_t2m_mou_8_missing,loc_ic_t2m_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,roam_og_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,roam_ic_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,offnet_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,onnet_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,std_ic_t2m_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,std_ic_t2t_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,loc_ic_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,loc_ic_t2f_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,loc_ic_t2m_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,loc_ic_t2t_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,spl_og_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,isd_og_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,std_og_mou_8_missing,1.0
std_ic_t2f_mou_8_missing,std_og_t2c_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,std_ic_t2m_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,std_ic_t2t_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,loc_ic_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,loc_ic_t2f_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,loc_ic_t2m_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,loc_ic_t2t_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,spl_og_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,isd_og_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,std_og_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,std_og_t2c_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,std_og_t2f_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,std_og_t2m_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,std_og_t2t_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,loc_og_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
std_ic_mou_8_missing,isd_og_mou_8_missing,1.0
std_ic_mou_8_missing,std_og_mou_8_missing,1.0
std_ic_mou_8_missing,std_og_t2c_mou_8_missing,1.0
std_ic_mou_8_missing,std_og_t2f_mou_8_missing,1.0
std_ic_mou_8_missing,std_og_t2m_mou_8_missing,1.0
std_ic_mou_8_missing,std_og_t2t_mou_8_missing,1.0
std_ic_mou_8_missing,loc_og_mou_8_missing,1.0
std_ic_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
std_ic_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
std_ic_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
std_ic_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
std_ic_mou_8_missing,roam_og_mou_8_missing,1.0
std_ic_mou_8_missing,roam_ic_mou_8_missing,1.0
std_ic_mou_8_missing,offnet_mou_8_missing,1.0
std_ic_mou_8_missing,onnet_mou_8_missing,1.0
std_ic_t2o_mou_8_missing,std_ic_t2f_mou_8_missing,1.0
spl_ic_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
spl_ic_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
spl_ic_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
spl_ic_mou_8_missing,roam_og_mou_8_missing,1.0
spl_ic_mou_8_missing,roam_ic_mou_8_missing,1.0
spl_ic_mou_8_missing,offnet_mou_8_missing,1.0
spl_ic_mou_8_missing,onnet_mou_8_missing,1.0
std_ic_mou_8_missing,std_ic_t2o_mou_8_missing,1.0
std_ic_mou_8_missing,std_ic_t2f_mou_8_missing,1.0
std_ic_mou_8_missing,std_ic_t2m_mou_8_missing,1.0
std_ic_mou_8_missing,std_ic_t2t_mou_8_missing,1.0
std_ic_mou_8_missing,loc_ic_mou_8_missing,1.0
std_ic_mou_8_missing,loc_ic_t2f_mou_8_missing,1.0
std_ic_mou_8_missing,loc_ic_t2m_mou_8_missing,1.0
std_ic_mou_8_missing,loc_ic_t2t_mou_8_missing,1.0
std_ic_mou_8_missing,spl_og_mou_8_missing,1.0
spl_ic_mou_8_missing,std_ic_t2f_mou_8_missing,1.0
spl_ic_mou_8_missing,std_ic_t2m_mou_8_missing,1.0
spl_ic_mou_8_missing,std_ic_t2t_mou_8_missing,1.0
spl_ic_mou_8_missing,loc_ic_mou_8_missing,1.0
spl_ic_mou_8_missing,loc_ic_t2f_mou_8_missing,1.0
spl_ic_mou_8_missing,loc_ic_t2m_mou_8_missing,1.0
spl_ic_mou_8_missing,loc_ic_t2t_mou_8_missing,1.0
spl_ic_mou_8_missing,spl_og_mou_8_missing,1.0
spl_ic_mou_8_missing,isd_og_mou_8_missing,1.0
spl_ic_mou_8_missing,std_og_mou_8_missing,1.0
spl_ic_mou_8_missing,std_og_t2c_mou_8_missing,1.0
spl_ic_mou_8_missing,std_og_t2f_mou_8_missing,1.0
spl_ic_mou_8_missing,std_og_t2m_mou_8_missing,1.0
spl_ic_mou_8_missing,std_og_t2t_mou_8_missing,1.0
spl_ic_mou_8_missing,loc_og_mou_8_missing,1.0
spl_ic_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
isd_ic_mou_8_missing,std_og_mou_8_missing,1.0
isd_ic_mou_8_missing,std_og_t2c_mou_8_missing,1.0
isd_ic_mou_8_missing,std_og_t2f_mou_8_missing,1.0
isd_ic_mou_8_missing,std_og_t2m_mou_8_missing,1.0
isd_ic_mou_8_missing,std_og_t2t_mou_8_missing,1.0
isd_ic_mou_8_missing,loc_og_mou_8_missing,1.0
isd_ic_mou_8_missing,loc_og_t2c_mou_8_missing,1.0
isd_ic_mou_8_missing,loc_og_t2f_mou_8_missing,1.0
isd_ic_mou_8_missing,loc_og_t2m_mou_8_missing,1.0
isd_ic_mou_8_missing,loc_og_t2t_mou_8_missing,1.0
isd_ic_mou_8_missing,roam_og_mou_8_missing,1.0
